task,architecture,profile,method,t_stat,p_two_sided,n,mean,sd,ci_low,ci_high,p_holm_within_setting
two_concepts,TwoLayerCNN,release_late,contrast,-3.899385471925772,0.00029348214621493336,50,-0.0452308812723662,0.08202077762509184,-0.06854092835873182,-0.021920834186000583,0.0014674107310746667
two_concepts,TwoLayerCNN,template_init,auroc,0.5488006177801881,0.5856344460675217,50,0.0073524273886437655,0.0947329703403149,-0.01957038489384397,0.034275239671131504,1.0
two_concepts,TwoLayerCNN,retention_0p1,auroc,-0.45170640039140253,0.6534736284710175,50,-0.005758120891406618,0.09013833600049746,-0.03137515254236554,0.019858910759552303,1.0
two_concepts,TwoLayerCNN,release_early,auroc,-2.0343312715736412,0.04734924583075321,50,-0.030922519992506396,0.10748261054436799,-0.06146873992968796,-0.00037630005532483454,0.14204773749225963
two_concepts,TwoLayerCNN,release_default,auroc,-2.416926035723114,0.019420477171645134,50,-0.03377460715902639,0.09881251391672813,-0.06185681289778857,-0.005692401420264205,0.07768190868658054
two_concepts,TwoLayerCNN,release_late,auroc,-2.5658560941487973,0.013401704843166076,50,-0.031089479219352886,0.08567737539799775,-0.05543871989459105,-0.006740238544114718,0.06700852421583038
two_concepts,TwoLayerCNN,template_init,validation_patch,-1.442369626826087,0.15556000874313206,50,-0.011978322616293842,0.05872248688333496,-0.02866706873542688,0.004710423502839196,0.3111200174862641
two_concepts,TwoLayerCNN,retention_0p1,validation_patch,7.072529183454568,5.1220742443134335e-09,50,0.04060638852714431,0.04059799817328503,0.02906856510687532,0.052144211947413296,2.5610371221567168e-08
two_concepts,TwoLayerCNN,release_early,validation_patch,0.9297763598032533,0.3570449829609112,50,0.0067027406938561926,0.05097519793000178,-0.007784250266122751,0.021189731653835135,0.3570449829609112
two_concepts,TwoLayerCNN,release_default,validation_patch,2.8878252732657725,0.005759081537704047,50,0.01772846126986362,0.04340953484954812,0.005391607967089741,0.030065314572637496,0.01727724461311214
two_concepts,TwoLayerCNN,release_late,validation_patch,3.571605385513852,0.000807202939426923,50,0.016706402487406104,0.03307535187395031,0.007306491490414631,0.026106313484397577,0.003228811757707692
