task,architecture,profile,method,k,metric,block,delta
single_shape,TinyCNN,template_init,contrast,5,fidelity,5041,-0.12533051996520495
single_shape,TinyCNN,template_init,contrast,5,fidelity,5042,-0.10488480987588833
single_shape,TinyCNN,template_init,contrast,5,fidelity,5043,-0.15479022966447165
single_shape,TinyCNN,template_init,contrast,5,fidelity,5044,-0.07398264865207504
single_shape,TinyCNN,template_init,contrast,5,fidelity,5045,-0.02789026620348556
single_shape,TinyCNN,template_init,contrast,5,fidelity,5046,-0.08247540586695623
single_shape,TinyCNN,template_init,contrast,5,fidelity,5047,-0.11489535575803522
single_shape,TinyCNN,template_init,contrast,5,fidelity,5048,-0.10752213246943165
single_shape,TinyCNN,template_init,contrast,5,fidelity,5049,-0.161535062675757
single_shape,TinyCNN,template_init,contrast,6,fidelity,5000,-0.057733020952267955
single_shape,TinyCNN,template_init,contrast,6,fidelity,5001,-0.07894353345824168
single_shape,TinyCNN,template_init,contrast,6,fidelity,5002,-0.08980452464406086
single_shape,TinyCNN,template_init,contrast,6,fidelity,5003,-0.12107902724979669
single_shape,TinyCNN,template_init,contrast,6,fidelity,5004,-0.08470269658970475
single_shape,TinyCNN,template_init,contrast,6,fidelity,5005,-0.05983320891400579
single_shape,TinyCNN,template_init,contrast,6,fidelity,5006,-0.036509091933679794
single_shape,TinyCNN,template_init,contrast,6,fidelity,5007,-0.0021183688377921506
single_shape,TinyCNN,template_init,contrast,6,fidelity,5008,0.05154402164973726
single_shape,TinyCNN,template_init,contrast,6,fidelity,5009,-0.1300218318365357
single_shape,TinyCNN,template_init,contrast,6,fidelity,5010,-0.04626581271570074
single_shape,TinyCNN,template_init,contrast,6,fidelity,5011,-0.05119158563337989
single_shape,TinyCNN,template_init,contrast,6,fidelity,5012,-0.05821984325332674
single_shape,TinyCNN,template_init,contrast,6,fidelity,5013,-0.09237884429751075
single_shape,TinyCNN,template_init,contrast,6,fidelity,5014,-0.024951417307067514
single_shape,TinyCNN,template_init,contrast,6,fidelity,5015,-0.06865004864278812
single_shape,TinyCNN,template_init,contrast,6,fidelity,5016,-0.0917212929858322
single_shape,TinyCNN,template_init,contrast,6,fidelity,5017,-0.0846848933238985
single_shape,TinyCNN,template_init,contrast,6,fidelity,5018,-0.09238737870075586
single_shape,TinyCNN,template_init,contrast,6,fidelity,5019,-0.17759520035297816
single_shape,TinyCNN,template_init,contrast,6,fidelity,5020,-0.08506516463156377
single_shape,TinyCNN,template_init,contrast,6,fidelity,5021,0.020071711951231697
single_shape,TinyCNN,template_init,contrast,6,fidelity,5022,-0.12630688904544207
single_shape,TinyCNN,template_init,contrast,6,fidelity,5023,-0.118828023678755
single_shape,TinyCNN,template_init,contrast,6,fidelity,5024,-0.022077500085856627
single_shape,TinyCNN,template_init,contrast,6,fidelity,5025,0.0344376055417136
single_shape,TinyCNN,template_init,contrast,6,fidelity,5026,-0.10334852922046622
single_shape,TinyCNN,template_init,contrast,6,fidelity,5027,-0.17539032531964904
single_shape,TinyCNN,template_init,contrast,6,fidelity,5028,-0.05086231481949277
single_shape,TinyCNN,template_init,contrast,6,fidelity,5029,-0.16754201082332865
single_shape,TinyCNN,template_init,contrast,6,fidelity,5030,-0.07127573218684158
single_shape,TinyCNN,template_init,contrast,6,fidelity,5031,-0.019845394324004895
single_shape,TinyCNN,template_init,contrast,6,fidelity,5032,-0.13951711961637414
single_shape,TinyCNN,template_init,contrast,6,fidelity,5033,-0.0026533280829358352
single_shape,TinyCNN,template_init,contrast,6,fidelity,5034,-0.10220179613012237
single_shape,TinyCNN,template_init,contrast,6,fidelity,5035,0.00598782218394267
single_shape,TinyCNN,template_init,contrast,6,fidelity,5036,-0.13168117355895403
single_shape,TinyCNN,template_init,contrast,6,fidelity,5037,-0.0838512876276939
single_shape,TinyCNN,template_init,contrast,6,fidelity,5038,-0.0020202826916341232
single_shape,TinyCNN,template_init,contrast,6,fidelity,5039,-0.0652525795564074
single_shape,TinyCNN,template_init,contrast,6,fidelity,5040,-0.10160140860589184
single_shape,TinyCNN,template_init,contrast,6,fidelity,5041,-0.07490101305099195
single_shape,TinyCNN,template_init,contrast,6,fidelity,5042,-0.08820347827786867
single_shape,TinyCNN,template_init,contrast,6,fidelity,5043,-0.01763477007073233
single_shape,TinyCNN,template_init,contrast,6,fidelity,5044,-0.0771095077214572
single_shape,TinyCNN,template_init,contrast,6,fidelity,5045,-0.010405728974993478
single_shape,TinyCNN,template_init,contrast,6,fidelity,5046,0.011891495045764255
single_shape,TinyCNN,template_init,contrast,6,fidelity,5047,-0.09978130490632264
