task,architecture,profile,method,block,B
single_shape,TinyCNN,template_init,auroc,5040,-0.039523481597897314
single_shape,TinyCNN,template_init,auroc,5041,0.07428180499115344
single_shape,TinyCNN,template_init,auroc,5042,0.107887374813326
single_shape,TinyCNN,template_init,auroc,5043,0.029768749599546285
single_shape,TinyCNN,template_init,auroc,5044,0.04987076223433062
single_shape,TinyCNN,template_init,auroc,5045,0.21054337569673665
single_shape,TinyCNN,template_init,auroc,5046,0.10498108825582797
single_shape,TinyCNN,template_init,auroc,5047,0.07925056293738508
single_shape,TinyCNN,template_init,auroc,5048,0.04813779514832933
single_shape,TinyCNN,template_init,auroc,5049,-0.010479584692817234
single_shape,TinyCNN,retention_0p1,auroc,5000,0.05590967746698278
single_shape,TinyCNN,retention_0p1,auroc,5001,0.07042749339930798
single_shape,TinyCNN,retention_0p1,auroc,5002,0.07510655161182156
single_shape,TinyCNN,retention_0p1,auroc,5003,0.055090322517769685
single_shape,TinyCNN,retention_0p1,auroc,5004,0.060240076539283205
single_shape,TinyCNN,retention_0p1,auroc,5005,0.02887552417667677
single_shape,TinyCNN,retention_0p1,auroc,5006,0.05972107639826674
single_shape,TinyCNN,retention_0p1,auroc,5007,0.07229225172623677
single_shape,TinyCNN,retention_0p1,auroc,5008,0.07474064552877663
single_shape,TinyCNN,retention_0p1,auroc,5009,-0.0129716047016748
single_shape,TinyCNN,retention_0p1,auroc,5010,-0.010073012528949599
single_shape,TinyCNN,retention_0p1,auroc,5011,0.021067668297296838
single_shape,TinyCNN,retention_0p1,auroc,5012,0.08960736162899613
single_shape,TinyCNN,retention_0p1,auroc,5013,0.055932940702825396
single_shape,TinyCNN,retention_0p1,auroc,5014,0.05755518365440426
single_shape,TinyCNN,retention_0p1,auroc,5015,0.06057414036873232
single_shape,TinyCNN,retention_0p1,auroc,5016,0.11261169427125012
single_shape,TinyCNN,retention_0p1,auroc,5017,0.06870201065740578
single_shape,TinyCNN,retention_0p1,auroc,5018,0.1329546545987984
single_shape,TinyCNN,retention_0p1,auroc,5019,0.05269866063602513
single_shape,TinyCNN,retention_0p1,auroc,5020,-0.021744309152823715
single_shape,TinyCNN,retention_0p1,auroc,5021,0.011147843203516028
single_shape,TinyCNN,retention_0p1,auroc,5022,0.04865056331674905
single_shape,TinyCNN,retention_0p1,auroc,5023,0.004700908332329945
single_shape,TinyCNN,retention_0p1,auroc,5024,0.03078141091496278
single_shape,TinyCNN,retention_0p1,auroc,5025,0.04109294755559734
single_shape,TinyCNN,retention_0p1,auroc,5026,0.04353413973286996
single_shape,TinyCNN,retention_0p1,auroc,5027,-0.004302109211956007
single_shape,TinyCNN,retention_0p1,auroc,5028,0.01678525139645415
single_shape,TinyCNN,retention_0p1,auroc,5029,0.03953872304650541
single_shape,TinyCNN,retention_0p1,auroc,5030,0.06928585080667637
single_shape,TinyCNN,retention_0p1,auroc,5031,0.054213819235856664
single_shape,TinyCNN,retention_0p1,auroc,5032,-0.03976812624352127
single_shape,TinyCNN,retention_0p1,auroc,5033,0.06774895312438933
single_shape,TinyCNN,retention_0p1,auroc,5034,0.12511900997130598
single_shape,TinyCNN,retention_0p1,auroc,5035,0.14517430456348418
single_shape,TinyCNN,retention_0p1,auroc,5036,0.13074730710937343
single_shape,TinyCNN,retention_0p1,auroc,5037,0.12776444900140266
single_shape,TinyCNN,retention_0p1,auroc,5038,0.10975434773177345
single_shape,TinyCNN,retention_0p1,auroc,5039,0.037178627175197154
single_shape,TinyCNN,retention_0p1,auroc,5040,0.008941968819012325
single_shape,TinyCNN,retention_0p1,auroc,5041,0.03604011001268759
single_shape,TinyCNN,retention_0p1,auroc,5042,0.08075016250342398
single_shape,TinyCNN,retention_0p1,auroc,5043,-0.027826257568512258
single_shape,TinyCNN,retention_0p1,auroc,5044,0.024486137564401378
single_shape,TinyCNN,retention_0p1,auroc,5045,0.09382689809630129
single_shape,TinyCNN,retention_0p1,auroc,5046,0.05049005710119436
single_shape,TinyCNN,retention_0p1,auroc,5047,0.0423551056836699
single_shape,TinyCNN,retention_0p1,auroc,5048,0.01785273874427451
single_shape,TinyCNN,retention_0p1,auroc,5049,0.01962813796865792
single_shape,TinyCNN,release_early,auroc,5000,0.1888249981077052
single_shape,TinyCNN,release_early,auroc,5001,0.11491749112356353
single_shape,TinyCNN,release_early,auroc,5002,0.12242752334095347
single_shape,TinyCNN,release_early,auroc,5003,0.09883353787534133
single_shape,TinyCNN,release_early,auroc,5004,0.09214698871048138
single_shape,TinyCNN,release_early,auroc,5005,0.05430573642731673
single_shape,TinyCNN,release_early,auroc,5006,0.09582528551989994
single_shape,TinyCNN,release_early,auroc,5007,0.10546637451154672
single_shape,TinyCNN,release_early,auroc,5008,0.1360269488129045
single_shape,TinyCNN,release_early,auroc,5009,0.06202823519526396
single_shape,TinyCNN,release_early,auroc,5010,0.11158274977231625
single_shape,TinyCNN,release_early,auroc,5011,0.008736800147710666
single_shape,TinyCNN,release_early,auroc,5012,0.08284226779384407
single_shape,TinyCNN,release_early,auroc,5013,0.06964921917536915
single_shape,TinyCNN,release_early,auroc,5014,0.0803038641969751
single_shape,TinyCNN,release_early,auroc,5015,0.15225902792615242
single_shape,TinyCNN,release_early,auroc,5016,0.1374810290869145
single_shape,TinyCNN,release_early,auroc,5017,0.07835772193142215
single_shape,TinyCNN,release_early,auroc,5018,0.17699296338986603
single_shape,TinyCNN,release_early,auroc,5019,0.0583214665154842
single_shape,TinyCNN,release_early,auroc,5020,0.082839121925054
single_shape,TinyCNN,release_early,auroc,5021,0.10159110213197148
single_shape,TinyCNN,release_early,auroc,5022,0.08664287583568786
single_shape,TinyCNN,release_early,auroc,5023,-0.0009090378518818443
single_shape,TinyCNN,release_early,auroc,5024,0.0881979437151762
single_shape,TinyCNN,release_early,auroc,5025,0.08566229287061594
single_shape,TinyCNN,release_early,auroc,5026,0.07068046165369674
single_shape,TinyCNN,release_early,auroc,5027,0.09708329257271286
single_shape,TinyCNN,release_early,auroc,5028,0.05254901544461371
single_shape,TinyCNN,release_early,auroc,5029,0.062229463529267504
single_shape,TinyCNN,release_early,auroc,5030,0.17264737978822414
single_shape,TinyCNN,release_early,auroc,5031,0.09133421541756193
single_shape,TinyCNN,release_early,auroc,5032,-0.09346282838444808
single_shape,TinyCNN,release_early,auroc,5033,0.09022656029036058
single_shape,TinyCNN,release_early,auroc,5034,0.19196468123861432
single_shape,TinyCNN,release_early,auroc,5035,0.15726411628653036
single_shape,TinyCNN,release_early,auroc,5036,0.08785073563899443
single_shape,TinyCNN,release_early,auroc,5037,0.09906373393621498
