task,architecture,block,condition,original_U,refit_U,delta_U,original_cf_accuracy,refit_cf_accuracy,original_acc,refit_acc,selected_refit_converged
two_concepts,TinyCNN,5,frozen_random_unitnorm,0.23820024366504317,0.36408267737410643,0.12588243370906327,0.416015625,0.6484375,0.4375,0.73046875,True
single_shape,TwoLayerCNN,6,frozen_random_unitnorm,0.0462620603023991,0.01711941953532685,-0.02914264076707225,0.02734375,0.02213541604578495,0.99609375,1.0,True
two_concepts,TinyCNN,2,template_init,0.6051634921333231,0.7256992397926763,0.12053574765935315,0.828125,0.837890625,0.9921875,0.9921875,True
single_shape,TinyCNN,0,template_retention_1,0.31771746968824394,0.365127124021957,0.04740965433371308,0.48828125,0.4479166567325592,1.0,1.0,True
two_concepts,TinyCNN,2,template_retention_1,0.47617636498558474,0.6594257722766982,0.18324940729111344,0.716796875,0.828125,0.9375,0.9765625,True
single_shape,TinyCNN,1,frozen_spectrum,0.2543968475156659,0.4439816567495756,0.18958480923390975,0.59765625,0.6471354365348816,0.84765625,0.99609375,True
single_shape,TinyCNN,0,frozen_templates,0.26470667793601543,0.39831991340796447,0.13361323547194903,0.6315104365348816,0.5703125,0.8828125,1.0,True
two_concepts,TwoLayerCNN,6,template_retention_1,0.011442711407547324,0.018484744439830836,0.007042033032283512,0.060546875,0.10546875,0.9765625,0.984375,True
single_shape,TinyCNN,8,frozen_random_unitnorm,0.2312060007136133,0.31892312852009275,0.08771712780647944,0.3880208432674408,0.46484375,0.84375,0.9609375,True
single_shape,TwoLayerCNN,5,frozen_spectrum,0.040731406377611995,0.0067349771658579,-0.033996429211754095,0.014322916977107525,0.0065104165114462376,1.0,1.0,True
single_shape,TwoLayerCNN,4,template_init,0.11729106671677271,0.09449401662947307,-0.02279705008729964,0.09375,0.0859375,0.99609375,1.0,True
single_shape,TinyCNN,7,template_init,0.13267149626876973,0.30642245751013153,0.1737509612413618,0.2955729067325592,0.35546875,1.0,1.0,True
two_concepts,TwoLayerCNN,7,frozen_templates,0.012438232771536328,0.020307726563799422,0.007869493792263094,0.11328125,0.115234375,0.98046875,0.98046875,True
single_shape,TwoLayerCNN,9,template_init,0.06676269281448854,0.021716137560334525,-0.04504655525415402,0.02864583395421505,0.014322916977107525,1.0,1.0,True
single_shape,TwoLayerCNN,0,frozen_spectrum,0.016769503218974857,0.012251057069178894,-0.004518446149795963,0.00390625,0.02864583395421505,1.0,1.0,True
two_concepts,TinyCNN,7,frozen_templates,0.7343822204050343,0.5714836162515771,-0.16289860415345725,0.603515625,0.642578125,0.5546875,0.84765625,True
two_concepts,TwoLayerCNN,0,template_init,-0.025930458943375895,-0.014381034869871426,0.011549424073504469,0.01171875,0.01171875,0.99609375,0.99609375,True
single_shape,TwoLayerCNN,3,frozen_random_unitnorm,-0.03309206110392121,-0.0019650045249207243,0.031127056579000487,0.0013020833721384406,0.0078125,1.0,1.0,True
two_concepts,TinyCNN,0,frozen_random_unitnorm,0.3112443016090857,0.33096708876029163,0.0197227871512059,0.3671875,0.49609375,0.421875,0.6796875,True
single_shape,TinyCNN,1,template_init,0.24449877045705837,0.32975169564293766,0.08525292518587929,0.3203125,0.3645833432674408,1.0,0.99609375,True
single_shape,TwoLayerCNN,2,template_init,0.006630445249879491,-0.016255959089804442,-0.022886404339683933,0.01692708395421505,0.0,1.0,1.0,True
single_shape,TwoLayerCNN,8,frozen_random_unitnorm,0.002978249759901963,0.0009556119989779371,-0.002022637760924026,0.0013020833721384406,0.0026041667442768812,1.0,1.0,True
two_concepts,TinyCNN,4,frozen_spectrum,0.4062879668841989,0.5070089853476945,0.10072101846349557,0.478515625,0.64453125,0.5625,0.84375,True
two_concepts,TinyCNN,1,frozen_templates,0.6701242484018506,0.5097269578844659,-0.16039729051738472,0.560546875,0.55078125,0.62109375,0.7890625,True
two_concepts,TwoLayerCNN,6,template_init,0.08386514708010609,0.050287122346395305,-0.033578024733710785,0.1015625,0.07421875,0.984375,0.98828125,True
single_shape,TinyCNN,6,frozen_templates,0.1616112286139723,0.35618711982600776,0.19457589121203545,0.5703125,0.5338541865348816,0.82421875,1.0,True
two_concepts,TwoLayerCNN,1,frozen_templates,0.06367192748924583,-0.04981353443856784,-0.11348546192781367,0.12890625,0.08203125,0.98828125,0.984375,True
two_concepts,TwoLayerCNN,3,template_retention_1,0.14919551043385282,0.055035742019134665,-0.09415976841471815,0.150390625,0.091796875,0.984375,0.99609375,True
single_shape,TinyCNN,3,frozen_random_unitnorm,0.23184367261651528,0.4548780505284126,0.22303437791189734,0.4140625,0.6640625,0.67578125,0.94921875,True
