task,architecture,treatment,reference,metric,n,mean,sd,lo,hi,p
single_shape,TinyCNN,template_init,random_unitnorm,fidelity_random,10,0.017120403751284704,0.027468079467260247,-0.0025290765898564327,0.03676988409242584,0.08021352277064281
single_shape,TinyCNN,template_init,random_unitnorm,causal_usefulness,10,-0.03248299404538709,0.09383442955222777,-0.0996081012450496,0.03464211315427541,0.3020794343791375
single_shape,TinyCNN,template_init,random_unitnorm,cf_accuracy,10,0.00651041716337204,0.1052210816278289,-0.0687602102346582,0.08178104456140228,0.8492211217361662
single_shape,TinyCNN,template_init,random_unitnorm,cf_accuracy_random,10,0.0017903650470543653,0.020536068576190048,-0.01290025343077332,0.016480983524882052,0.7890100374692536
single_shape,TinyCNN,template_init,random_unitnorm,refit_test_acc,10,-0.000390625,0.0012352647110032732,-0.0012742801417398824,0.0004930301417398823,0.34343639613791355
single_shape,TinyCNN,template_init,random_unitnorm,nuisance_acc,10,0.0,0.0,0.0,0.0,1.0
single_shape,TinyCNN,template_init,random_unitnorm,nuisance_prediction_stability,10,0.0,0.0,0.0,0.0,1.0
single_shape,TinyCNN,template_init,random_unitnorm,nuisance_probability_l2,10,6.444714235840366e-05,0.00042857121700615836,-0.0002421342374347792,0.00037102852215158653,0.6457367018654114
single_shape,TinyCNN,template_init,random_unitnorm,drift_l2,10,0.05063607692718506,0.03928980867667242,0.022529840955366844,0.07874231289900327,0.0027766950451647812
single_shape,TinyCNN,template_init,random_unitnorm,selected_kernel_alignment,10,0.3510591989876894,0.057405629082451115,0.3099936857809529,0.3921247121944259,1.2211850025243172e-08
single_shape,TinyCNN,template_init,random_unitnorm,best_semantic_kernel_alignment,10,0.3421897961585256,0.08673496312236606,0.2801433412982971,0.40423625101875416,5.524653562601069e-07
single_shape,TinyCNN,template_init,random_unitnorm,input_effect_mean_square,10,-0.05621430079142251,0.03761399792766973,-0.08312173397081216,-0.029306867612032866,0.0010798872829954353
single_shape,TinyCNN,template_init,random_unitnorm,counterfactual_agreement,10,0.00651041716337204,0.1052210816278289,-0.0687602102346582,0.08178104456140228,0.8492211217361662
single_shape,TinyCNN,template_init,spectrum_init,id_acc,10,0.0,0.0,0.0,0.0,1.0
single_shape,TinyCNN,template_init,spectrum_init,alignment,10,0.29957836616639444,0.07838130521613128,0.24350775817965503,0.35564897415313385,7.243110528927239e-07
single_shape,TinyCNN,template_init,spectrum_init,semantic_auc,10,0.0009033203125,0.014027956278455368,-0.009131675088195538,0.01093831571319554,0.8431704000307785
single_shape,TinyCNN,template_init,spectrum_init,localization_iou,10,0.14020568348948276,0.09895163081934089,0.06941995102405861,0.2109914159549069,0.0015309507274064499
single_shape,TinyCNN,template_init,spectrum_init,fidelity_selected,10,-0.040443188414490995,0.07034162245238708,-0.09076255381423057,0.00987617698524857,0.1024010490015249
