task,architecture,block,condition,concept_z_mean_square,nuisance_z_mean_square,concept_to_nuisance_response_ratio
two_concepts,TinyCNN,5,frozen_templates,0.06228039413690567,0.005585759878158569,11.149851675585694
single_shape,TwoLayerCNN,9,frozen_templates,0.16492803394794464,0.0034117531031370163,48.341139866275114
single_shape,TwoLayerCNN,2,template_retention_1,0.1971072554588318,0.004977974109351635,39.5958779875021
single_shape,TinyCNN,6,template_retention_0.1,1.5908074378967285,0.018285809084773064,86.99683074026096
two_concepts,TinyCNN,0,frozen_spectrum,0.03948715329170227,0.007997114211320877,4.937675297397085
single_shape,TinyCNN,2,frozen_templates,0.16821928322315216,0.004344740882515907,38.71790925440449
two_concepts,TinyCNN,9,random,1.1329811811447144,0.06388771533966064,17.733944235150553
single_shape,TinyCNN,2,random_unitnorm,2.2844667434692383,0.030191674828529358,75.66545269328853
two_concepts,TwoLayerCNN,9,spectrum_retention_1,0.03119560331106186,0.009493744932115078,3.2859112535807196
two_concepts,TwoLayerCNN,0,template_retention_0.1,0.1717633754014969,0.014448810368776321,11.887717467223126
single_shape,TwoLayerCNN,9,random,0.5125566124916077,0.008144563063979149,62.93236462966135
single_shape,TinyCNN,0,random,2.4029343128204346,0.021353943273425102,112.52883282737183
single_shape,TwoLayerCNN,9,random_unitnorm,0.7403459548950195,0.011971267871558666,61.84357102675258
single_shape,TinyCNN,2,frozen_random_unitnorm,0.07015473395586014,0.0038492283783853054,18.225661628653224
two_concepts,TwoLayerCNN,4,frozen_random_unitnorm,0.013605565764009953,0.007430809549987316,1.8309668243392372
two_concepts,TwoLayerCNN,5,frozen_templates,0.06228039413690567,0.005585759878158569,11.149851675585694
two_concepts,TwoLayerCNN,2,random,0.22785872220993042,0.02840336225926876,8.0222446951883
two_concepts,TwoLayerCNN,9,random_unitnorm,0.24834249913692474,0.04498668015003204,5.520356210075836
single_shape,TinyCNN,9,template_retention_0.1,1.8505429029464722,0.015952512621879578,116.0032244957055
two_concepts,TinyCNN,6,random_unitnorm,1.2460744380950928,0.07085675001144409,17.58582545620338
single_shape,TwoLayerCNN,5,template_retention_1,0.1944848746061325,0.0036774189211428165,52.886244068623334
single_shape,TinyCNN,4,frozen_spectrum,0.17635023593902588,0.00279348436743021,63.12912933937571
single_shape,TwoLayerCNN,3,frozen_templates,0.16950571537017822,0.0042551844380795956,39.83510417392806
single_shape,TinyCNN,8,template_retention_1,0.5440020561218262,0.006192046217620373,87.8549734615657
single_shape,TinyCNN,8,frozen_templates,0.16085980832576752,0.0033140690065920353,48.53846072782439
two_concepts,TinyCNN,5,frozen_random_unitnorm,0.013406185433268547,0.007020674645900726,1.9095295123946858
single_shape,TwoLayerCNN,6,frozen_random_unitnorm,0.07777977734804153,0.003794346936047077,20.498857552828824
two_concepts,TwoLayerCNN,7,random,0.10653319209814072,0.023529013618826866,4.527737278918383
two_concepts,TinyCNN,7,spectrum_init,1.4174578189849854,0.07456891238689423,19.0086964341203
two_concepts,TinyCNN,2,template_init,1.4693900346755981,0.07650551944971085,19.206327141422367
single_shape,TinyCNN,0,template_retention_1,0.6288310885429382,0.006715498398989439,93.63878169304097
two_concepts,TinyCNN,1,template_retention_0.1,0.7085773348808289,0.040175147354602814,17.637205624328548
two_concepts,TinyCNN,2,template_retention_1,0.20517584681510925,0.01255124993622303,16.347044944342137
single_shape,TinyCNN,1,frozen_spectrum,0.12238851934671402,0.002979464130476117,41.07735954758965
two_concepts,TinyCNN,3,random_unitnorm,0.8891240358352661,0.056959643959999084,15.60971898735303
single_shape,TinyCNN,5,random,2.142718553543091,0.021982906386256218,97.47203194581792
single_shape,TwoLayerCNN,2,template_retention_0.1,0.35271450877189636,0.008008573204278946,44.042115839490926
two_concepts,TwoLayerCNN,6,spectrum_retention_1,0.04365238547325134,0.008920582942664623,4.893445389591563
single_shape,TinyCNN,0,frozen_templates,0.1670754998922348,0.003513420233502984,47.55352015652724
two_concepts,TwoLayerCNN,6,template_retention_1,0.07641567289829254,0.008262667804956436,9.248305111873663
single_shape,TinyCNN,8,frozen_random_unitnorm,0.06306625157594681,0.0041067954152822495,15.35656033443108
single_shape,TinyCNN,0,spectrum_retention_1,0.6677493453025818,0.006873046979308128,97.15477681338363
two_concepts,TinyCNN,2,spectrum_retention_1,0.20110084116458893,0.01525912620127201,13.179053538978204
single_shape,TwoLayerCNN,5,frozen_spectrum,0.18056099116802216,0.0037049734964966774,48.734759192948545
single_shape,TwoLayerCNN,4,template_init,0.6668393015861511,0.011631027795374393,57.33279236520698
single_shape,TinyCNN,7,template_init,2.626056432723999,0.02599165588617325,101.03459526489728
two_concepts,TwoLayerCNN,7,frozen_templates,0.059003282338380814,0.006220808252692223,9.484825756017404
single_shape,TwoLayerCNN,9,template_init,0.6198021769523621,0.010239621624350548,60.5297929640709
single_shape,TwoLayerCNN,1,spectrum_init,0.5939176678657532,0.011005455628037453,53.965750073326454
two_concepts,TwoLayerCNN,3,random_unitnorm,0.19412419199943542,0.03409659117460251,5.6933606941925765
single_shape,TinyCNN,2,spectrum_init,2.4332292079925537,0.027461756020784378,88.60428321302427
single_shape,TwoLayerCNN,0,frozen_spectrum,0.1676017791032791,0.003557794028893113,47.10834234420893
single_shape,TwoLayerCNN,5,spectrum_retention_1,0.22432613372802734,0.004306157119572163,52.09427512721952
single_shape,TinyCNN,8,spectrum_retention_1,0.587520182132721,0.006660226732492447,88.21324043916657
two_concepts,TinyCNN,9,random_unitnorm,1.2247509956359863,0.07196588069200516,17.01849520716067
single_shape,TwoLayerCNN,7,template_retention_0.1,0.35475048422813416,0.005873118061572313,60.40240984584646
two_concepts,TinyCNN,4,template_retention_0.1,0.7496215105056763,0.035658251494169235,21.02238553755932
two_concepts,TinyCNN,7,frozen_templates,0.059003282338380814,0.006220808252692223,9.484825756017404
two_concepts,TwoLayerCNN,6,random_unitnorm,0.253892183303833,0.03406538441777229,7.4530843448041235
two_concepts,TinyCNN,5,random,0.9534212946891785,0.06266995519399643,15.213371251628292
two_concepts,TwoLayerCNN,0,template_init,0.3059050440788269,0.025734644383192062,11.88689610487181
two_concepts,TwoLayerCNN,8,spectrum_init,0.14704056084156036,0.03484442085027695,4.21991691219031
single_shape,TwoLayerCNN,3,frozen_random_unitnorm,0.06830253452062607,0.004216198809444904,16.20002699294406
single_shape,TwoLayerCNN,5,random,0.6412495970726013,0.00823716726154089,77.84831565416648
two_concepts,TinyCNN,0,frozen_random_unitnorm,0.013731848448514938,0.006859110668301582,2.001986717020728
two_concepts,TwoLayerCNN,5,spectrum_init,0.31408408284187317,0.0403810515999794,7.778006525269228
two_concepts,TinyCNN,6,random,1.1310559511184692,0.06058304384350777,18.669513437457898
single_shape,TinyCNN,9,spectrum_init,2.4910926818847656,0.02660040557384491,93.64867294858674
single_shape,TinyCNN,1,template_init,2.6289613246917725,0.027572112157940865,95.34856486990687
single_shape,TwoLayerCNN,2,template_init,0.7234358191490173,0.014102273620665073,51.29923291864901
single_shape,TinyCNN,4,spectrum_init,2.7568886280059814,0.02471495419740677,111.54738972954478
single_shape,TwoLayerCNN,8,frozen_random_unitnorm,0.08154565095901489,0.003804336069151759,21.434923065878582
single_shape,TwoLayerCNN,6,random,0.5990503430366516,0.009801818057894707,61.11624797546173
single_shape,TwoLayerCNN,7,spectrum_init,0.9909200668334961,0.012378927320241928,80.04894456510388
single_shape,TwoLayerCNN,0,spectrum_retention_1,0.22112488746643066,0.004333849530667067,51.022742229907344
single_shape,TinyCNN,6,random_unitnorm,2.5008811950683594,0.028109660372138023,88.96874462230089
two_concepts,TinyCNN,4,frozen_spectrum,0.02625940553843975,0.005664927884936333,4.635435096758496
two_concepts,TinyCNN,1,frozen_templates,0.06990155577659607,0.006753892637789249,10.349817434983233
two_concepts,TwoLayerCNN,6,template_init,0.24254517257213593,0.026596207171678543,9.119539903058605
single_shape,TinyCNN,7,template_retention_0.1,1.9253134727478027,0.016472158953547478,116.88288573327318
two_concepts,TwoLayerCNN,3,spectrum_init,0.19174441695213318,0.03672494739294052,5.221094393970225
single_shape,TinyCNN,6,frozen_templates,0.15912222862243652,0.0038749570958316326,41.06425560004456
two_concepts,TwoLayerCNN,1,template_retention_0.1,0.14817951619625092,0.016604246571660042,8.924193913692067
single_shape,TwoLayerCNN,8,random_unitnorm,0.7133541703224182,0.012991632334887981,54.90874063659908
two_concepts,TwoLayerCNN,1,frozen_templates,0.06990155577659607,0.006753892637789249,10.349817434983233
two_concepts,TwoLayerCNN,3,template_retention_1,0.08977709710597992,0.007078264839947224,12.683489405385021
single_shape,TinyCNN,3,frozen_random_unitnorm,0.07018700242042542,0.004351405892521143,16.12973005829159
two_concepts,TinyCNN,1,frozen_spectrum,0.029763314872980118,0.005689734593033791,5.231055049460609
two_concepts,TwoLayerCNN,5,frozen_random_unitnorm,0.016588864848017693,0.007859649136662483,2.110636818460064
single_shape,TinyCNN,3,random_unitnorm,2.5705251693725586,0.029610706493258476,86.81066660661389
single_shape,TinyCNN,5,spectrum_retention_1,0.6319820284843445,0.007430610246956348,85.0511610056806
single_shape,TwoLayerCNN,8,spectrum_retention_1,0.2350279837846756,0.0040289899334311485,58.3342196599936
two_concepts,TinyCNN,7,spectrum_retention_1,0.24048809707164764,0.01541127823293209,15.604682067043138
single_shape,TinyCNN,6,random,2.1927363872528076,0.022341687232255936,98.14551445725336
single_shape,TinyCNN,5,template_retention_1,0.6255376935005188,0.0068135811015963554,91.80747747377094
single_shape,TwoLayerCNN,7,random_unitnorm,0.6775696277618408,0.013726858422160149,49.36086662538871
two_concepts,TinyCNN,7,template_retention_1,0.2085687816143036,0.011852022260427475,17.59773792449669
two_concepts,TinyCNN,9,frozen_templates,0.061560094356536865,0.006813914515078068,9.034468251739076
single_shape,TwoLayerCNN,8,template_retention_1,0.19077491760253906,0.003973614424467087,48.010425074930225
single_shape,TwoLayerCNN,9,template_retention_0.1,0.32222023606300354,0.006431082263588905,50.1035786600538
two_concepts,TwoLayerCNN,3,spectrum_retention_1,0.03408312052488327,0.009395617991685867,3.627554946895802
two_concepts,TwoLayerCNN,1,frozen_spectrum,0.029763314872980118,0.005689734593033791,5.231055049460609
two_concepts,TwoLayerCNN,4,random,0.1343771070241928,0.02555886097252369,5.257554597939674
two_concepts,TwoLayerCNN,0,frozen_random_unitnorm,0.014470888301730156,0.007827932015061378,1.8486221231721685
single_shape,TinyCNN,9,random_unitnorm,2.5184357166290283,0.025795552879571915,97.6306159587467
