task,architecture,condition,block,mean_val_acc_epochs_1_10,val_acc_epoch_5,val_acc_epoch_10,val_acc_epoch_20,val_acc_epoch_40,first_epoch_95,val_ce_improvement_31_40
single_shape,TwoLayerCNN,frozen_random_unitnorm,block04,0.77890625,0.73046875,0.98046875,1.0,1.0,9.0,0.03244894742965698
single_shape,TwoLayerCNN,frozen_random_unitnorm,block05,0.773828125,0.75390625,0.98046875,0.99609375,1.0,9.0,0.03037147969007492
single_shape,TwoLayerCNN,frozen_random_unitnorm,block06,0.78046875,0.796875,0.96875,0.9921875,1.0,9.0,0.024920925498008728
single_shape,TwoLayerCNN,frozen_random_unitnorm,block07,0.7703125,0.7890625,0.984375,1.0,1.0,9.0,0.025152750313282013
single_shape,TwoLayerCNN,frozen_random_unitnorm,block08,0.74375,0.76953125,0.96484375,1.0,1.0,9.0,0.02372961863875389
single_shape,TwoLayerCNN,frozen_random_unitnorm,block09,0.8375,0.96875,0.98828125,0.9921875,1.0,4.0,0.019963745027780533
single_shape,TwoLayerCNN,frozen_spectrum,block00,0.86796875,0.99609375,1.0,1.0,1.0,4.0,0.012836003676056862
single_shape,TwoLayerCNN,frozen_spectrum,block01,0.787890625,0.734375,1.0,1.0,1.0,7.0,0.024551574140787125
single_shape,TwoLayerCNN,frozen_spectrum,block02,0.86015625,0.9296875,0.98828125,0.99609375,0.99609375,6.0,0.022028464823961258
single_shape,TwoLayerCNN,frozen_spectrum,block03,0.827734375,0.859375,0.99609375,0.99609375,0.99609375,7.0,0.015776371583342552
single_shape,TwoLayerCNN,frozen_spectrum,block04,0.765234375,0.71484375,0.9765625,1.0,1.0,8.0,0.018760712817311287
single_shape,TwoLayerCNN,frozen_spectrum,block05,0.794140625,0.7109375,1.0,1.0,1.0,8.0,0.01677114889025688
single_shape,TwoLayerCNN,frozen_spectrum,block06,0.86953125,0.98828125,1.0,1.0,1.0,5.0,0.017289090901613235
single_shape,TwoLayerCNN,frozen_spectrum,block07,0.841796875,0.921875,0.9765625,0.9921875,1.0,9.0,0.020434482023119926
single_shape,TwoLayerCNN,frozen_spectrum,block08,0.84921875,0.92578125,0.97265625,1.0,1.0,7.0,0.021410638466477394
single_shape,TwoLayerCNN,frozen_spectrum,block09,0.883984375,0.9921875,1.0,1.0,1.0,4.0,0.018030863255262375
single_shape,TwoLayerCNN,frozen_templates,block00,0.816015625,0.8515625,1.0,1.0,1.0,6.0,0.0209642481058836
single_shape,TwoLayerCNN,frozen_templates,block01,0.7859375,0.79296875,1.0,1.0,1.0,8.0,0.03521103039383888
