task,architecture,block,condition,id_acc,test_ce,alignment,initial_alignment,semantic_auc,localization_iou,fidelity_selected,fidelity_random,cf_accuracy,cf_accuracy_random,nuisance_acc,nuisance_prediction_stability,nuisance_probability_l2,refit_test_acc,refit_val_acc,refit_converged,drift_l2,seconds,causal_usefulness,selected_kernel_alignment,best_semantic_kernel_alignment,input_effect_mean_square,counterfactual_agreement
two_concepts,TinyCNN,2,template_retention_0.1,0.984375,0.3111499547958374,0.7210808726923986,1.0,0.9881744384765625,0.2851521952019687,0.8845360312402999,0.3259065459866656,0.78125,0.118896484375,0.97265625,0.96484375,0.009705624543130398,0.98828125,0.9921875,True,1.2131035327911377,6.215832948684692,0.5586294852536343,0.6649639678147288,0.6602455762336457,0.86564040184021,0.79296875
two_concepts,TinyCNN,2,template_retention_1,0.9375,0.7877730131149292,0.9447448872663535,1.0,0.868377685546875,0.3447717251632636,0.9147417824131142,0.43856541742752947,0.716796875,0.18994140625,0.9296875,0.9296875,0.0032566343434154987,0.9765625,0.98828125,True,0.3676178455352783,5.6371071338653564,0.47617636498558474,0.93072568387169,0.9178311655153909,0.20822463929653168,0.755859375
two_concepts,TinyCNN,3,frozen_random_unitnorm,0.42578125,1.3348355293273926,0.14126722998061342,0.14126722998061342,0.748077392578125,0.2048024814701665,0.6462639967608921,0.24243006942587172,0.412109375,0.28271484375,0.4609375,0.6015625,0.0006275636842474341,0.76171875,0.6875,True,0.0,2.691309928894043,0.4038339273350203,0.1782817831417809,0.15327328420167147,0.0020667253993451595,0.693359375
two_concepts,TinyCNN,3,frozen_spectrum,0.2578125,1.3882893323898315,0.3983914422045509,0.3983914422045509,0.7282867431640625,0.16741234133036093,-0.144195959034634,-0.09767362471999659,0.271484375,0.261474609375,0.2578125,0.74609375,0.00027967538335360587,0.81640625,0.76953125,True,0.0,2.217500925064087,-0.04652233431463741,0.40942930509972,0.36408539526678574,0.0004439059994183481,0.66015625
two_concepts,TinyCNN,3,frozen_templates,0.54296875,1.2513059377670288,1.0,1.0,0.7692108154296875,0.39080330100426286,0.9016039160422902,0.3342133151904125,0.49609375,0.2685546875,0.55859375,0.87109375,0.0004446222446858883,0.828125,0.828125,True,0.0,2.59743595123291,0.5673906008518776,1.0,1.0000000000000002,0.012616858817636967,0.8046875
two_concepts,TinyCNN,3,random,0.99609375,0.15820135176181793,0.2147326591227899,0.1412672307345014,0.99365234375,0.20270397794525963,0.953526435690713,0.3693113655412673,0.91015625,0.197265625,0.99609375,0.99609375,0.006182392127811909,1.0,1.0,True,1.6283327341079712,5.387500047683716,0.5842150701494457,0.208692190078275,0.1114650979921725,1.3272695541381836,0.912109375
two_concepts,TinyCNN,3,random_unitnorm,0.98046875,0.23629319667816162,0.17909944493801336,0.14126722998061342,0.98773193359375,0.2424706905470722,0.9370219594456649,0.36573678948930066,0.87890625,0.17529296875,0.98046875,0.96875,0.006685113534331322,0.9921875,0.99609375,True,1.470403790473938,6.298694849014282,0.5712851699563642,0.20731220382350565,0.12320061743768938,1.0948151350021362,0.896484375
two_concepts,TinyCNN,3,spectrum_init,0.9609375,0.4402649700641632,0.36204976653047194,0.3983914422045509,0.98602294921875,0.1550670743566763,0.9649263691990064,0.46270200263034844,0.8984375,0.251220703125,0.94921875,0.96875,0.007202776148915291,0.9921875,1.0,True,1.3317745923995972,5.371317148208618,0.502224366568658,0.36801256697157847,0.3846447213445895,0.610832691192627,0.921875
two_concepts,TinyCNN,3,spectrum_retention_1,0.8203125,0.9300640225410461,0.3966576006486131,0.3983914422045509,0.93414306640625,0.15064214247752417,0.9535517199746383,0.41657153123848023,0.7890625,0.263427734375,0.83984375,0.9296875,0.0025348877534270287,0.97265625,0.98046875,True,0.34479600191116333,5.184478998184204,0.536980188736158,0.39745963655706895,0.4142941680981264,0.09275005012750626,0.921875
two_concepts,TinyCNN,3,template_init,0.9140625,0.5287519097328186,0.7335397430583492,1.0,0.97509765625,0.29953169605010466,0.8285106213976312,0.46066279387302767,0.607421875,0.22998046875,0.921875,0.921875,0.004350387025624514,0.984375,0.984375,True,1.342179298400879,5.47561502456665,0.36784782752460354,0.6568836678580725,0.6105684831594558,0.5714250206947327,0.666015625
