task,architecture,block,condition,id_acc,test_ce,alignment,initial_alignment,semantic_auc,localization_iou,fidelity_selected,fidelity_random,cf_accuracy,cf_accuracy_random,nuisance_acc,nuisance_prediction_stability,nuisance_probability_l2,refit_test_acc,refit_val_acc,refit_converged,drift_l2,seconds,causal_usefulness,epoch
single_shape,TinyCNN,2000,template_release,0.99609375,0.5601938962936401,0.9137124067504541,1.0,0.9318033854166666,0.513947521997719,0.6476333778526218,0.3903347773067766,0.4713541567325592,0.10302734328433871,0.99609375,0.9921875,0.0010776591952890158,1.0,0.99609375,True,0.46069300174713135,0.45905017852783203,0.25729860054584514,20
single_shape,TinyCNN,2000,template_release,0.99609375,0.25370627641677856,0.895761319325146,1.0,0.9455362955729166,0.5149494098561334,0.5768134229684475,0.3582395836618229,0.3033854067325592,0.09472656296566129,1.0,0.99609375,0.0014139132108539343,1.0,1.0,True,0.5274553298950195,0.46033239364624023,0.2185738393066246,40
single_shape,TinyCNN,2000,template_release,1.0,0.0486774668097496,0.824302295826481,1.0,0.9556681315104166,0.4909637146723545,0.5316451491453205,0.274334944517341,0.2981770932674408,0.0965169279370457,1.0,1.0,0.0009877914562821388,1.0,1.0,True,0.8169097900390625,0.48517727851867676,0.2573102046279795,80
single_shape,TinyCNN,2000,template_release,1.0,0.011247377842664719,0.7241263402443213,1.0,0.9643147786458333,0.4500255409240481,0.4834973005497003,0.21451330595187096,0.27734375,0.09700520767364651,1.0,1.0,0.00021019502310082316,1.0,1.0,True,1.325065016746521,0.47823119163513184,0.26898399459782935,120
single_shape,TinyCNN,2000,template_release,1.0,0.0063056969083845615,0.696943382729479,1.0,0.9654541015624999,0.43541051915239626,0.4666009489643749,0.19759008531376118,0.2747395932674408,0.09554036578629166,1.0,1.0,0.00010944331006612629,1.0,1.0,True,1.5233612060546875,0.5491025447845459,0.26901086365061366,160
single_shape,TinyCNN,2000,template_release,1.0,0.004290602635592222,0.6816283272427761,1.0,0.9631144205729167,0.429448993927474,0.4561903586488024,0.18785337257021328,0.2708333432674408,0.09667968761641532,1.0,1.0,7.232830830616876e-05,1.0,1.0,True,1.655890703201294,0.5492134094238281,0.26833698607858913,200
single_shape,TinyCNN,2000,template_retention_1,0.484375,1.3131364583969116,0.9978412226390686,1.0,0.8700764973958334,0.48137232549003306,0.4840981594944943,0.08437132394367325,0.51953125,0.28385416977107525,0.4921875,0.875,0.00018190596892964095,1.0,1.0,True,0.08022559434175491,0.5299851894378662,0.39972683555082106,1
single_shape,TinyCNN,2000,template_retention_1,0.5703125,1.1092016696929932,0.9728744356263082,1.0,0.8968098958333334,0.4944381963377007,0.6312047998131771,0.36656984825437344,0.4153645932674408,0.20670572947710752,0.58203125,0.96875,0.00027566213975660503,1.0,0.99609375,True,0.24307280778884888,0.5511469841003418,0.2646349515588037,5
single_shape,TinyCNN,2000,template_retention_1,0.9921875,0.9040820002555847,0.9471556866773506,1.0,0.9309692382812499,0.5086677933931092,0.6364770756946422,0.3924339506883692,0.5611979365348816,0.11897786520421505,0.98828125,0.99609375,0.0004595757054630667,1.0,1.0,True,0.3398597538471222,0.6347832679748535,0.24404312500627295,10
single_shape,TinyCNN,2000,template_retention_1,0.99609375,0.5843064785003662,0.9210068557644533,1.0,0.9442545572916666,0.5143123104920899,0.6478319212371285,0.3912355970320173,0.4752604067325592,0.10595703125,0.99609375,0.9921875,0.0010609813034534454,1.0,0.99609375,True,0.4347028136253357,0.472989559173584,0.2565963242051112,20
single_shape,TinyCNN,2000,template_retention_1,0.9921875,0.3291199505329132,0.922385260935229,1.0,0.9399210611979166,0.5283717140762807,0.5771661559134293,0.370627037699312,0.2747395932674408,0.0957031266298145,0.99609375,0.99609375,0.001540611730888486,1.0,0.99609375,True,0.4274575114250183,0.4570889472961426,0.20653911821411736,40
single_shape,TinyCNN,2000,template_retention_1,0.99609375,0.18834425508975983,0.936700922860469,1.0,0.9398803710937501,0.535478011179706,0.5698428977911245,0.3407611463770481,0.2877604067325592,0.09049479267559946,1.0,0.99609375,0.0018604774959385395,1.0,1.0,True,0.3704671859741211,0.7423088550567627,0.22908175141407644,80
single_shape,TinyCNN,2000,template_retention_1,1.0,0.1362120509147644,0.9464636622848799,1.0,0.9378865559895833,0.5370453177438546,0.5668357132586357,0.3212472762667433,0.3072916567325592,0.08577473810873926,1.0,1.0,0.0020040497183799744,1.0,1.0,True,0.33283287286758423,0.4796895980834961,0.24558843699189237,120
single_shape,TinyCNN,2000,template_retention_1,1.0,0.10912381857633591,0.9532370058119249,1.0,0.9354451497395833,0.5369984424414301,0.584735994268712,0.30850296114816245,0.3763020932674408,0.0854492171201855,1.0,1.0,0.0019922167994081974,1.0,1.0,True,0.3067307770252228,0.4977426528930664,0.2762330331205496,160
single_shape,TinyCNN,2000,template_retention_1,1.0,0.09112588316202164,0.9585087768085675,1.0,0.9331868489583333,0.5361988938170229,0.6328744342091226,0.2988080991711237,0.4296875,0.08382161520421505,1.0,1.0,0.0019240385154262185,1.0,1.0,True,0.286116361618042,0.4572334289550781,0.3340663350379989,200
single_shape,TinyCNN,2001,random,0.421875,1.2815005779266357,0.18112508742507336,0.17255583202058805,0.9350789388020833,0.3272822179465431,0.6030271195681107,0.3321994610790907,0.3372395932674408,0.23095703125,0.44140625,0.94921875,0.00013351008237805218,0.99609375,0.98828125,True,0.08726875483989716,0.5273458957672119,0.27082765848902,1
single_shape,TinyCNN,2001,random,0.9453125,1.004136323928833,0.24119713896584663,0.17255583202058805,0.9540201822916666,0.36949863865885335,0.49994946209349,0.39072498916697485,0.36328125,0.1666666641831398,0.93359375,0.96484375,0.00029759196331724524,1.0,1.0,True,0.3303372263908386,0.48552846908569336,0.10922447292651516,5
single_shape,TinyCNN,2001,random,0.984375,0.6349825263023376,0.2762977925871535,0.17255583202058805,0.9598795572916667,0.36415652262868364,0.5257438407986561,0.37997194101714316,0.30859375,0.08561197808012366,0.98828125,0.99609375,0.0008965649176388979,1.0,1.0,True,0.6138241291046143,0.486189603805542,0.14577189978151295,10
single_shape,TinyCNN,2001,random,1.0,0.18031145632266998,0.3021065401993017,0.17255583202058805,0.9659830729166666,0.35953897111986294,0.45654411600651446,0.3051687408998822,0.2682291567325592,0.07063802075572312,1.0,1.0,0.0018119968008249998,1.0,0.99609375,True,1.0997514724731445,0.48335957527160645,0.15137537510663224,20
