architecture,method,k,metric,block,delta
TinyCNN,validation_patch,1,fidelity,4007,-0.3346272511752999
TinyCNN,validation_patch,1,fidelity,4008,-0.23422312893489772
TinyCNN,validation_patch,1,fidelity,4009,-0.31265438780087196
TinyCNN,validation_patch,1,fidelity,4010,-0.26265759041487835
TinyCNN,validation_patch,1,fidelity,4011,-0.2991321962652459
TinyCNN,validation_patch,1,fidelity,4012,-0.23783678842051204
TinyCNN,validation_patch,1,fidelity,4013,-0.30318539882473816
TinyCNN,validation_patch,1,fidelity,4014,-0.31957889668870365
TinyCNN,validation_patch,1,fidelity,4015,-0.316103997026403
TinyCNN,validation_patch,1,fidelity,4016,-0.20201243271306146
TinyCNN,validation_patch,1,fidelity,4017,-0.327912350320552
TinyCNN,validation_patch,1,fidelity,4018,-0.40016880882224715
TinyCNN,validation_patch,1,fidelity,4019,-0.14729480495546254
TinyCNN,validation_patch,2,fidelity,4000,-0.08496105883094884
TinyCNN,validation_patch,2,fidelity,4001,-0.2821917758607493
TinyCNN,validation_patch,2,fidelity,4002,-0.27589338220304394
TinyCNN,validation_patch,2,fidelity,4003,-0.24244152204246794
TinyCNN,validation_patch,2,fidelity,4004,-0.06549096415776945
TinyCNN,validation_patch,2,fidelity,4005,-0.19271630316359312
TinyCNN,validation_patch,2,fidelity,4006,-0.25086266793915213
TinyCNN,validation_patch,2,fidelity,4007,-0.17297474949431502
TinyCNN,validation_patch,2,fidelity,4008,-0.20886694785993765
TinyCNN,validation_patch,2,fidelity,4009,-0.11973921417229494
TinyCNN,validation_patch,2,fidelity,4010,-0.09421915154926996
TinyCNN,validation_patch,2,fidelity,4011,-0.22664378510697458
TinyCNN,validation_patch,2,fidelity,4012,-0.1460500783514368
TinyCNN,validation_patch,2,fidelity,4013,-0.16353229701837702
TinyCNN,validation_patch,2,fidelity,4014,-0.06414290681853096
TinyCNN,validation_patch,2,fidelity,4015,-0.18074794705763098
TinyCNN,validation_patch,2,fidelity,4016,-0.19283885937754008
TinyCNN,validation_patch,2,fidelity,4017,-0.1387931250691682
TinyCNN,validation_patch,2,fidelity,4018,-0.2720010308737648
TinyCNN,validation_patch,2,fidelity,4019,-0.09151134766773261
TinyCNN,validation_patch,4,fidelity,4000,0.05115803912883099
TinyCNN,validation_patch,4,fidelity,4001,0.014617873164519568
TinyCNN,validation_patch,4,fidelity,4002,-0.07935135561744155
TinyCNN,validation_patch,4,fidelity,4003,0.003418135233579478
TinyCNN,validation_patch,4,fidelity,4004,0.007483876706311343
TinyCNN,validation_patch,4,fidelity,4005,-0.06840756848413099
TinyCNN,validation_patch,4,fidelity,4006,0.004741862343597192
