task,architecture,block,condition,epoch,concept,control,k,selected_channels,control_channels,selected_energy,control_energy,relative_energy_error,energy_ratio,method
two_concepts,TinyCNN,4000,template_release,200,1,1,2,"[1, 15]","[8, 15]",96342.638671875,95036.017578125,0.01356223071904961,0.9864377692809504,validation_patch
two_concepts,TinyCNN,4000,template_release,200,1,2,2,"[1, 15]","[6, 15]",96342.638671875,98676.048828125,0.024219911229514467,1.0242199112295145,validation_patch
two_concepts,TinyCNN,4000,template_release,200,1,3,2,"[1, 15]","[2, 15]",96342.638671875,98769.6015625,0.025190953082474536,1.0251909530824745,validation_patch
two_concepts,TinyCNN,4000,template_release,200,1,4,2,"[1, 15]","[14, 15]",96342.638671875,93637.45703125,0.02807875804438305,0.9719212419556169,validation_patch
two_concepts,TinyCNN,4000,template_release,200,1,5,2,"[1, 15]","[0, 15]",96342.638671875,93120.8828125,0.03344060224827034,0.9665593977517296,validation_patch
two_concepts,TinyCNN,4000,template_release,200,1,6,2,"[1, 15]","[4, 15]",96342.638671875,104778.0078125,0.08755592805958211,1.0875559280595821,validation_patch
two_concepts,TinyCNN,4000,template_release,200,1,7,2,"[1, 15]","[7, 15]",96342.638671875,87155.9873046875,0.09535395224616502,0.904646047753835,validation_patch
two_concepts,TinyCNN,4000,template_release,200,0,0,4,"[3, 9, 12, 14]","[3, 8, 9, 12]",59657.51745605469,59678.70886230469,0.00035521770186984654,1.0003552177018697,contrast
two_concepts,TinyCNN,4000,template_release,200,0,1,4,"[3, 9, 12, 14]","[2, 5, 11, 15]",59657.51745605469,59709.07763671875,0.0008642696321053436,1.0008642696321053,contrast
two_concepts,TinyCNN,4000,template_release,200,0,2,4,"[3, 9, 12, 14]","[0, 5, 13, 15]",59657.51745605469,59711.25732421875,0.0009008063100119564,1.000900806310012,contrast
two_concepts,TinyCNN,4000,template_release,200,0,3,4,"[3, 9, 12, 14]","[5, 10, 13, 15]",59657.51745605469,59530.400390625,0.002130780341694998,0.997869219658305,contrast
two_concepts,TinyCNN,4000,template_release,200,0,4,4,"[3, 9, 12, 14]","[1, 2, 13, 15]",59657.51745605469,59524.51953125,0.0022293573463337173,0.9977706426536663,contrast
two_concepts,TinyCNN,4000,template_release,200,0,5,4,"[3, 9, 12, 14]","[6, 7, 10, 15]",59657.51745605469,59830.919921875,0.002906632277282496,1.0029066322772826,contrast
two_concepts,TinyCNN,4000,template_release,200,0,6,4,"[3, 9, 12, 14]","[0, 8, 11, 15]",59657.51745605469,59468.716796875,0.0031647421352851814,0.9968352578647148,contrast
two_concepts,TinyCNN,4000,template_release,200,0,7,4,"[3, 9, 12, 14]","[0, 12, 13, 15]",59657.51745605469,59458.63525390625,0.00333373245534294,0.996666267544657,contrast
two_concepts,TinyCNN,4000,template_release,200,1,0,4,"[0, 1, 6, 15]","[0, 3, 7, 15]",144281.5546875,144194.5693359375,0.000602886153749188,0.9993971138462509,contrast
two_concepts,TinyCNN,4000,template_release,200,1,1,4,"[0, 1, 6, 15]","[0, 1, 2, 15]",144281.5546875,144375.107421875,0.0006484039805200758,1.0006484039805201,contrast
two_concepts,TinyCNN,4000,template_release,200,1,2,4,"[0, 1, 6, 15]","[3, 6, 11, 15]",144281.5546875,144375.626953125,0.0006520047959612821,1.0006520047959613,contrast
two_concepts,TinyCNN,4000,template_release,200,1,3,4,"[0, 1, 6, 15]","[5, 6, 9, 15]",144281.5546875,144385.8719482422,0.0007230117596676073,1.0007230117596677,contrast
two_concepts,TinyCNN,4000,template_release,200,1,4,4,"[0, 1, 6, 15]","[1, 4, 7, 15]",144281.5546875,144418.6181640625,0.0009499722737211027,1.0009499722737212,contrast
two_concepts,TinyCNN,4000,template_release,200,1,5,4,"[0, 1, 6, 15]","[2, 13, 14, 15]",144281.5546875,144120.255859375,0.0011179448992933144,0.9988820551007067,contrast
two_concepts,TinyCNN,4000,template_release,200,1,6,4,"[0, 1, 6, 15]","[2, 3, 11, 15]",144281.5546875,144469.1796875,0.0013004087764813578,1.0013004087764814,contrast
two_concepts,TinyCNN,4000,template_release,200,1,7,4,"[0, 1, 6, 15]","[2, 5, 9, 15]",144281.5546875,144479.4246826172,0.0013714157401876832,1.0013714157401876,contrast
two_concepts,TinyCNN,4000,template_release,200,0,0,4,"[3, 9, 12, 14]","[3, 8, 9, 12]",59657.51745605469,59678.70886230469,0.00035521770186984654,1.0003552177018697,auroc
two_concepts,TinyCNN,4000,template_release,200,0,1,4,"[3, 9, 12, 14]","[2, 5, 11, 15]",59657.51745605469,59709.07763671875,0.0008642696321053436,1.0008642696321053,auroc
two_concepts,TinyCNN,4000,template_release,200,0,2,4,"[3, 9, 12, 14]","[0, 5, 13, 15]",59657.51745605469,59711.25732421875,0.0009008063100119564,1.000900806310012,auroc
two_concepts,TinyCNN,4000,template_release,200,0,3,4,"[3, 9, 12, 14]","[5, 10, 13, 15]",59657.51745605469,59530.400390625,0.002130780341694998,0.997869219658305,auroc
two_concepts,TinyCNN,4000,template_release,200,0,4,4,"[3, 9, 12, 14]","[1, 2, 13, 15]",59657.51745605469,59524.51953125,0.0022293573463337173,0.9977706426536663,auroc
two_concepts,TinyCNN,4000,template_release,200,0,5,4,"[3, 9, 12, 14]","[6, 7, 10, 15]",59657.51745605469,59830.919921875,0.002906632277282496,1.0029066322772826,auroc
two_concepts,TinyCNN,4000,template_release,200,0,6,4,"[3, 9, 12, 14]","[0, 8, 11, 15]",59657.51745605469,59468.716796875,0.0031647421352851814,0.9968352578647148,auroc
two_concepts,TinyCNN,4000,template_release,200,0,7,4,"[3, 9, 12, 14]","[0, 12, 13, 15]",59657.51745605469,59458.63525390625,0.00333373245534294,0.996666267544657,auroc
two_concepts,TinyCNN,4000,template_release,200,1,0,4,"[0, 1, 6, 15]","[0, 3, 7, 15]",144281.5546875,144194.5693359375,0.000602886153749188,0.9993971138462509,auroc
two_concepts,TinyCNN,4000,template_release,200,1,1,4,"[0, 1, 6, 15]","[0, 1, 2, 15]",144281.5546875,144375.107421875,0.0006484039805200758,1.0006484039805201,auroc
two_concepts,TinyCNN,4000,template_release,200,1,2,4,"[0, 1, 6, 15]","[3, 6, 11, 15]",144281.5546875,144375.626953125,0.0006520047959612821,1.0006520047959613,auroc
two_concepts,TinyCNN,4000,template_release,200,1,3,4,"[0, 1, 6, 15]","[5, 6, 9, 15]",144281.5546875,144385.8719482422,0.0007230117596676073,1.0007230117596677,auroc
two_concepts,TinyCNN,4000,template_release,200,1,4,4,"[0, 1, 6, 15]","[1, 4, 7, 15]",144281.5546875,144418.6181640625,0.0009499722737211027,1.0009499722737212,auroc
two_concepts,TinyCNN,4000,template_release,200,1,5,4,"[0, 1, 6, 15]","[2, 13, 14, 15]",144281.5546875,144120.255859375,0.0011179448992933144,0.9988820551007067,auroc
two_concepts,TinyCNN,4000,template_release,200,1,6,4,"[0, 1, 6, 15]","[2, 3, 11, 15]",144281.5546875,144469.1796875,0.0013004087764813578,1.0013004087764814,auroc
two_concepts,TinyCNN,4000,template_release,200,1,7,4,"[0, 1, 6, 15]","[2, 5, 9, 15]",144281.5546875,144479.4246826172,0.0013714157401876832,1.0013714157401876,auroc
two_concepts,TinyCNN,4000,template_release,200,0,0,4,"[3, 4, 12, 14]","[3, 4, 9, 15]",77396.9765625,77416.33776855469,0.00025015455273053,1.0002501545527305,validation_patch
two_concepts,TinyCNN,4000,template_release,200,0,1,4,"[3, 4, 12, 14]","[3, 4, 8, 12]",77396.9765625,77418.16796875,0.0002738014737938427,1.0002738014737937,validation_patch
two_concepts,TinyCNN,4000,template_release,200,0,2,4,"[3, 4, 12, 14]","[0, 3, 5, 15]",77396.9765625,77206.00927734375,0.002467373967793679,0.9975326260322063,validation_patch
two_concepts,TinyCNN,4000,template_release,200,0,3,4,"[3, 4, 12, 14]","[3, 4, 5, 14]",77396.9765625,77649.5986328125,0.003263978536790792,1.0032639785367907,validation_patch
two_concepts,TinyCNN,4000,template_release,200,0,4,4,"[3, 4, 12, 14]","[3, 4, 5, 8]",77396.9765625,77670.7900390625,0.003537780010584635,1.0035377800105847,validation_patch
two_concepts,TinyCNN,4000,template_release,200,0,5,4,"[3, 4, 12, 14]","[3, 5, 10, 15]",77396.9765625,77025.15234375,0.004804118135670876,0.9951958818643292,validation_patch
two_concepts,TinyCNN,4000,template_release,200,0,6,4,"[3, 4, 12, 14]","[2, 8, 14, 15]",77396.9765625,77022.0126953125,0.004844683653562452,0.9951553163464375,validation_patch
two_concepts,TinyCNN,4000,template_release,200,0,7,4,"[3, 4, 12, 14]","[1, 2, 3, 15]",77396.9765625,77019.271484375,0.004880101199043527,0.9951198988009565,validation_patch
two_concepts,TinyCNN,4000,template_release,200,1,0,4,"[0, 1, 6, 15]","[0, 3, 7, 15]",144281.5546875,144194.5693359375,0.000602886153749188,0.9993971138462509,validation_patch
two_concepts,TinyCNN,4000,template_release,200,1,1,4,"[0, 1, 6, 15]","[0, 1, 2, 15]",144281.5546875,144375.107421875,0.0006484039805200758,1.0006484039805201,validation_patch
two_concepts,TinyCNN,4000,template_release,200,1,2,4,"[0, 1, 6, 15]","[3, 6, 11, 15]",144281.5546875,144375.626953125,0.0006520047959612821,1.0006520047959613,validation_patch
two_concepts,TinyCNN,4000,template_release,200,1,3,4,"[0, 1, 6, 15]","[5, 6, 9, 15]",144281.5546875,144385.8719482422,0.0007230117596676073,1.0007230117596677,validation_patch
two_concepts,TinyCNN,4000,template_release,200,1,4,4,"[0, 1, 6, 15]","[1, 4, 7, 15]",144281.5546875,144418.6181640625,0.0009499722737211027,1.0009499722737212,validation_patch
two_concepts,TinyCNN,4000,template_release,200,1,5,4,"[0, 1, 6, 15]","[2, 13, 14, 15]",144281.5546875,144120.255859375,0.0011179448992933144,0.9988820551007067,validation_patch
two_concepts,TinyCNN,4000,template_release,200,1,6,4,"[0, 1, 6, 15]","[2, 3, 11, 15]",144281.5546875,144469.1796875,0.0013004087764813578,1.0013004087764814,validation_patch
