task,architecture,block,condition,epoch,nearest_cosine,assignment_cosine,matching_gap,nearest_template_count,nearest_distance,assignment_distance,redundancy_cosine,mean_raw_norm,initial_index_cosine,raw_initial_drift,id_acc,semantic_auc,localization_iou,causal_usefulness,cf_accuracy,fidelity_selected,fidelity_random
two_concepts,TinyCNN,2003,template_release,1,0.9989926330579735,0.9989926330579735,0.0,16,0.04289641450300148,0.04289641450300148,0.8490510471502827,0.9964911,0.9989926330579735,0.0677898,0.203125,0.776214599609375,0.3898837310120683,0.6691365277314035,0.2109375,0.8402538536955343,0.17111732596413076
two_concepts,TinyCNN,2003,template_release,5,0.9880070558690812,0.9880070558690812,0.0,16,0.14907379081697122,0.14907379081697122,0.8382256091050062,1.0036559,0.9880070558690812,0.15513146,0.61328125,0.8216705322265625,0.3777144044313289,0.5741872347653858,0.484375,0.8880735243641383,0.3138862895987526
two_concepts,TinyCNN,2003,template_release,10,0.9793617980087994,0.9793617980087994,0.0,16,0.1912228484708358,0.1912228484708358,0.822569245327009,1.0370767,0.9793617980087994,0.20654681,0.734375,0.8403167724609375,0.3824664397190327,0.5809529608542198,0.51171875,0.9222129597118051,0.3412599988575853
two_concepts,TinyCNN,2003,template_release,20,0.963489148744316,0.963489148744316,0.0,16,0.2538696369239767,0.2538696369239767,0.8043939173548507,1.0863935,0.963489148744316,0.29052433,0.78125,0.8844146728515625,0.36536101533946064,0.6022673745921598,0.6953125,0.9539819807829453,0.3517146061907855
two_concepts,TinyCNN,2003,template_release,40,0.9216554299090037,0.9216554299090037,0.0,16,0.3767409722548275,0.3767409722548275,0.7521462479917128,1.1776607,0.9216554299090037,0.4611338,0.96484375,0.9466705322265625,0.32179336105137757,0.6018783665460954,0.87109375,0.9289414391741116,0.32706307262801626
two_concepts,TinyCNN,2003,template_release,80,0.7868886832719229,0.7844917008277567,0.0023969824441661958,15,0.6389791369002769,0.6418747230799711,0.5757878844025803,1.5753795,0.7844917008277567,1.0141166,0.99609375,0.9807281494140625,0.28550721197342604,0.7434672194913894,0.98046875,0.9651731583059063,0.22170593881451695
two_concepts,TinyCNN,2003,template_release,120,0.6396178385585726,0.6348870264042262,0.004730812154346342,13,0.8429691235818524,0.8488673044944366,0.46464261159886283,2.3472362,0.633457565740034,1.8992937,1.0,0.987701416015625,0.22115412938867213,0.7808200622901387,0.95703125,0.9518925286737158,0.1710724663835771
two_concepts,TinyCNN,2003,template_release,160,0.6016674474856697,0.595512265053345,0.006155182432324713,13,0.8877837798007672,0.8948675109229398,0.44094607375724365,2.7099764,0.5934716092310974,2.2841132,1.0,0.9886322021484375,0.20457825563361343,0.7920008005891364,0.955078125,0.9489180346127608,0.1569172340236245
two_concepts,TinyCNN,2003,template_release,200,0.5826268798088214,0.5754062671877498,0.007220612621071654,13,0.909425318316492,0.9174137312245034,0.4293827533833424,2.9480238,0.572988241143398,2.5323415,1.0,0.9896087646484375,0.19581160943207543,0.7969107411603591,0.9453125,0.9462584714797493,0.14934773031939025
two_concepts,TinyCNN,2004,random,0,0.1529154513598819,0.1278531748268793,0.02506227653300261,7,1.3007270496833485,1.319486957813353,0.18165006663495772,0.5628777,1.0,0.0,,,,,,,
two_concepts,TinyCNN,2004,random,1,0.1466676069144844,0.12962101639523613,0.017046590519248284,8,1.3052256288785897,1.3179401405089493,0.18258158403450891,0.5713806,0.9911352082237512,0.08330787,0.3671875,0.8741912841796875,0.19366838973024847,0.3683889445822668,0.34375,0.7053126854975922,0.3369237409153254
two_concepts,TinyCNN,2004,random,5,0.17084416179725914,0.1438721643700106,0.02697199742724854,10,1.2849504358894592,1.3046448831548134,0.225823107982788,0.6543939,0.8931011382625291,0.30339947,0.62890625,0.9290771484375,0.18231468343004095,0.4303181819712012,0.435546875,0.7836811468533962,0.353362964882195
two_concepts,TinyCNN,2004,random,10,0.20819468183716988,0.17412364999960248,0.034071031837567406,10,1.2548576465887935,1.2799065401175806,0.27213478133484126,0.8549333,0.7460083256083421,0.5877023,0.87890625,0.9727783203125,0.18824703020859185,0.40266098138876233,0.529296875,0.7491001528398267,0.34643917145106434
