task,architecture,block,condition,epoch,channel,nearest_template,assigned_template,nearest_cosine,assigned_cosine
single_shape,TinyCNN,2007,random,160,11,3,3,0.35444479976055654,0.35444479976055654
single_shape,TinyCNN,2007,random,160,12,13,8,0.2855224857689471,0.28499289431933333
single_shape,TinyCNN,2007,random,160,13,15,0,0.3197089962680335,0.119817264337864
single_shape,TinyCNN,2007,random,160,14,11,11,0.28049135171321893,0.28049135171321893
single_shape,TinyCNN,2007,random,160,15,7,10,0.29381281764410383,0.2009611696383584
single_shape,TinyCNN,2007,random,200,0,15,3,0.36755941315907803,0.34530619433540366
single_shape,TinyCNN,2007,random,200,1,15,15,0.36382069588387517,0.36382069588387517
single_shape,TinyCNN,2007,random,200,2,10,9,0.1477863354574839,0.12965094769539823
single_shape,TinyCNN,2007,random,200,3,5,4,0.24799396393041798,0.2415384849336386
single_shape,TinyCNN,2007,random,200,4,7,6,0.3354699956686376,0.2931520500354633
single_shape,TinyCNN,2007,random,200,5,7,2,0.0008750719571696506,-0.029218287789416538
single_shape,TinyCNN,2007,random,200,6,15,1,0.20525027618738298,-0.0009055273165614773
single_shape,TinyCNN,2007,random,200,7,15,14,0.3120355724913776,0.25683659917726714
single_shape,TinyCNN,2007,random,200,8,14,13,0.4824100068828908,0.4141129067631721
single_shape,TinyCNN,2007,random,200,9,7,7,0.38005488619968253,0.38005488619968253
single_shape,TinyCNN,2007,random,200,10,15,5,0.15077773956239338,-0.019981238871555264
single_shape,TinyCNN,2007,random,200,11,3,8,0.35047991615165064,0.3468803896164043
single_shape,TinyCNN,2007,random,200,12,8,12,0.28209024071620653,0.25747346211829564
single_shape,TinyCNN,2007,random,200,13,15,0,0.31722282164714266,0.1259662118352101
single_shape,TinyCNN,2007,random,200,14,11,11,0.278677324268606,0.278677324268606
single_shape,TinyCNN,2007,random,200,15,7,10,0.2934004816823021,0.20483282502603176
single_shape,TinyCNN,2007,random_unitnorm,0,0,14,14,0.16348241447941145,0.16348241447941145
single_shape,TinyCNN,2007,random_unitnorm,0,1,15,0,0.07303297359581062,0.002076550627812919
single_shape,TinyCNN,2007,random_unitnorm,0,2,0,12,0.07395169452460093,0.05255241061064689
single_shape,TinyCNN,2007,random_unitnorm,0,3,8,3,0.13269365163365218,0.08737897860290253
single_shape,TinyCNN,2007,random_unitnorm,0,4,7,7,0.19033307470035335,0.19033307470035335
single_shape,TinyCNN,2007,random_unitnorm,0,5,10,10,0.04454731759271666,0.04454731759271666
single_shape,TinyCNN,2007,random_unitnorm,0,6,15,2,0.10071782520720124,-0.016861779408987594
single_shape,TinyCNN,2007,random_unitnorm,0,7,15,15,0.23581835045247257,0.23581835045247257
single_shape,TinyCNN,2007,random_unitnorm,0,8,15,1,0.09386242402844612,0.05526530317986308
single_shape,TinyCNN,2007,random_unitnorm,0,9,5,5,0.1808930498887372,0.1808930498887372
single_shape,TinyCNN,2007,random_unitnorm,0,10,12,9,0.08157622227195599,0.07429262917402922
single_shape,TinyCNN,2007,random_unitnorm,0,11,4,4,0.265868276267266,0.265868276267266
single_shape,TinyCNN,2007,random_unitnorm,0,12,13,13,0.30677853340635797,0.30677853340635797
single_shape,TinyCNN,2007,random_unitnorm,0,13,6,6,0.08005795307425052,0.08005795307425052
single_shape,TinyCNN,2007,random_unitnorm,0,14,11,8,0.22445702089951894,0.19318149724426642
single_shape,TinyCNN,2007,random_unitnorm,0,15,14,11,0.15094838966841795,0.1362798619753418
single_shape,TinyCNN,2007,random_unitnorm,1,0,14,14,0.19077712622185825,0.19077712622185825
single_shape,TinyCNN,2007,random_unitnorm,1,1,15,0,0.0922203162472254,0.0010606693887475881
single_shape,TinyCNN,2007,random_unitnorm,1,2,0,12,0.061444500760714636,0.05261661654582528
single_shape,TinyCNN,2007,random_unitnorm,1,3,8,3,0.13335886994771864,0.10464308511888466
single_shape,TinyCNN,2007,random_unitnorm,1,4,7,7,0.21411676516611255,0.21411676516611255
single_shape,TinyCNN,2007,random_unitnorm,1,5,10,10,0.040259402598005055,0.040259402598005055
single_shape,TinyCNN,2007,random_unitnorm,1,6,15,1,0.09442886387745916,0.004010719358167516
single_shape,TinyCNN,2007,random_unitnorm,1,7,15,15,0.24337901066642117,0.24337901066642117
