task,architecture,condition,metric,target,n,spearman
two_concepts,TinyCNN,random_unitnorm,nearest_cosine,id_acc,10,-0.3104313934028485
two_concepts,TinyCNN,random_unitnorm,nearest_cosine,semantic_auc,10,-0.4787878787878787
two_concepts,TinyCNN,random_unitnorm,nearest_cosine,localization_iou,10,0.7939393939393938
two_concepts,TinyCNN,random_unitnorm,nearest_cosine,causal_usefulness,10,0.18787878787878787
two_concepts,TinyCNN,random_unitnorm,nearest_cosine,cf_accuracy,10,0.43030303030303024
two_concepts,TinyCNN,random_unitnorm,assignment_cosine,id_acc,10,-0.3104313934028485
two_concepts,TinyCNN,random_unitnorm,assignment_cosine,semantic_auc,10,-0.5757575757575757
two_concepts,TinyCNN,random_unitnorm,assignment_cosine,localization_iou,10,0.7939393939393938
two_concepts,TinyCNN,random_unitnorm,assignment_cosine,causal_usefulness,10,0.06666666666666665
two_concepts,TinyCNN,random_unitnorm,assignment_cosine,cf_accuracy,10,0.33333333333333326
two_concepts,TinyCNN,random_unitnorm,matching_gap,id_acc,10,0.4117967463507174
two_concepts,TinyCNN,random_unitnorm,matching_gap,semantic_auc,10,0.32121212121212117
two_concepts,TinyCNN,random_unitnorm,matching_gap,localization_iou,10,-0.7454545454545454
two_concepts,TinyCNN,random_unitnorm,matching_gap,causal_usefulness,10,0.05454545454545454
two_concepts,TinyCNN,random_unitnorm,matching_gap,cf_accuracy,10,-0.06666666666666665
two_concepts,TinyCNN,template_init,nearest_cosine,id_acc,10,0.22915598712780136
two_concepts,TinyCNN,template_init,nearest_cosine,semantic_auc,10,0.0303030303030303
two_concepts,TinyCNN,template_init,nearest_cosine,localization_iou,10,0.33333333333333326
two_concepts,TinyCNN,template_init,nearest_cosine,causal_usefulness,10,-0.12727272727272726
two_concepts,TinyCNN,template_init,nearest_cosine,cf_accuracy,10,0.2121212121212121
two_concepts,TinyCNN,template_init,assignment_cosine,id_acc,10,-0.024773620230032583
two_concepts,TinyCNN,template_init,assignment_cosine,semantic_auc,10,-0.0303030303030303
two_concepts,TinyCNN,template_init,assignment_cosine,localization_iou,10,0.4424242424242424
two_concepts,TinyCNN,template_init,assignment_cosine,causal_usefulness,10,-0.006060606060606061
two_concepts,TinyCNN,template_init,assignment_cosine,cf_accuracy,10,0.29696969696969694
two_concepts,TinyCNN,template_init,matching_gap,id_acc,10,0.3096702528754073
two_concepts,TinyCNN,template_init,matching_gap,semantic_auc,10,0.006060606060606061
two_concepts,TinyCNN,template_init,matching_gap,localization_iou,10,0.12727272727272726
two_concepts,TinyCNN,template_init,matching_gap,causal_usefulness,10,-0.10303030303030303
two_concepts,TinyCNN,template_init,matching_gap,cf_accuracy,10,-0.2606060606060606
two_concepts,TinyCNN,template_release,nearest_cosine,id_acc,10,0.5512130501182249
two_concepts,TinyCNN,template_release,nearest_cosine,semantic_auc,10,0.5393939393939393
two_concepts,TinyCNN,template_release,nearest_cosine,localization_iou,10,-0.49090909090909085
two_concepts,TinyCNN,template_release,nearest_cosine,causal_usefulness,10,0.10303030303030303
two_concepts,TinyCNN,template_release,nearest_cosine,cf_accuracy,10,0.6
two_concepts,TinyCNN,template_release,assignment_cosine,id_acc,10,0.5388262400032086
two_concepts,TinyCNN,template_release,assignment_cosine,semantic_auc,10,0.49090909090909085
two_concepts,TinyCNN,template_release,assignment_cosine,localization_iou,10,-0.6363636363636362
two_concepts,TinyCNN,template_release,assignment_cosine,causal_usefulness,10,-0.0303030303030303
two_concepts,TinyCNN,template_release,assignment_cosine,cf_accuracy,10,0.5151515151515151
two_concepts,TinyCNN,template_release,matching_gap,id_acc,10,0.13006150620767104
two_concepts,TinyCNN,template_release,matching_gap,semantic_auc,10,0.24848484848484845
two_concepts,TinyCNN,template_release,matching_gap,localization_iou,10,0.01818181818181818
two_concepts,TinyCNN,template_release,matching_gap,causal_usefulness,10,0.2606060606060606
two_concepts,TinyCNN,template_release,matching_gap,cf_accuracy,10,0.0303030303030303
two_concepts,TinyCNN,template_retention_1,nearest_cosine,id_acc,10,0.214076287663459
two_concepts,TinyCNN,template_retention_1,nearest_cosine,semantic_auc,10,-0.10303030303030303
two_concepts,TinyCNN,template_retention_1,nearest_cosine,localization_iou,10,0.17575757575757575
two_concepts,TinyCNN,template_retention_1,nearest_cosine,causal_usefulness,10,0.6484848484848483
two_concepts,TinyCNN,template_retention_1,nearest_cosine,cf_accuracy,10,0.01823716631040194
two_concepts,TinyCNN,template_retention_1,assignment_cosine,id_acc,10,0.214076287663459
two_concepts,TinyCNN,template_retention_1,assignment_cosine,semantic_auc,10,-0.10303030303030303
two_concepts,TinyCNN,template_retention_1,assignment_cosine,localization_iou,10,0.17575757575757575
two_concepts,TinyCNN,template_retention_1,assignment_cosine,causal_usefulness,10,0.6484848484848483
two_concepts,TinyCNN,template_retention_1,assignment_cosine,cf_accuracy,10,0.01823716631040194
two_concepts,TinyCNN,template_retention_1,matching_gap,id_acc,10,
two_concepts,TinyCNN,template_retention_1,matching_gap,semantic_auc,10,
two_concepts,TinyCNN,template_retention_1,matching_gap,localization_iou,10,
two_concepts,TinyCNN,template_retention_1,matching_gap,causal_usefulness,10,
two_concepts,TinyCNN,template_retention_1,matching_gap,cf_accuracy,10,
two_concepts,TwoLayerCNN,random,nearest_cosine,id_acc,10,0.07627700713964738
two_concepts,TwoLayerCNN,random,nearest_cosine,semantic_auc,10,-0.309090909090909
two_concepts,TwoLayerCNN,random,nearest_cosine,localization_iou,10,0.6848484848484848
two_concepts,TwoLayerCNN,random,nearest_cosine,causal_usefulness,10,-0.6969696969696969
two_concepts,TwoLayerCNN,random,nearest_cosine,cf_accuracy,10,-0.32121212121212117
two_concepts,TwoLayerCNN,random,assignment_cosine,id_acc,10,0.10170267618619651
two_concepts,TwoLayerCNN,random,assignment_cosine,semantic_auc,10,-0.2606060606060606
two_concepts,TwoLayerCNN,random,assignment_cosine,localization_iou,10,0.6484848484848483
two_concepts,TwoLayerCNN,random,assignment_cosine,causal_usefulness,10,-0.6121212121212121
two_concepts,TwoLayerCNN,random,assignment_cosine,cf_accuracy,10,-0.22424242424242422
two_concepts,TwoLayerCNN,random,matching_gap,id_acc,10,-0.15891043154093204
two_concepts,TwoLayerCNN,random,matching_gap,semantic_auc,10,0.29696969696969694
two_concepts,TwoLayerCNN,random,matching_gap,localization_iou,10,0.24848484848484845
two_concepts,TwoLayerCNN,random,matching_gap,causal_usefulness,10,-0.6
two_concepts,TwoLayerCNN,random,matching_gap,cf_accuracy,10,-0.29696969696969694
two_concepts,TwoLayerCNN,random_unitnorm,nearest_cosine,id_acc,10,0.012974982402692048
